Module,Orientation,mid_high_hgt_m,construction_date,survey_date,survey_time,construction_group,Block
2A,Perpendicular,4,5/11/2020,7/19/2021,11:23 AM,1,2
2B,Parallel,4,5/22/2020,6/7/2021,12:00 PM,1,2
2C,Parallel,4,5/21/2020,6/21/2021,8:54 AM,1,2
4B,Parallel,3,5/29/2020,6/28/2021,10:23 AM,1,4
4C,Parallel,3,5/30/2020,6/14/2021,8:40 AM,1,4
4D,Parallel,3,5/28/2020,7/19/2021,10:01 AM,1,4
5A,Parallel,3,6/2/2020,7/19/2021,12:14 AM,1,5
5B,Parallel,3,6/3/2020,6/7/2021,10:30 AM,1,5
5C,Parallel,3,8/31/2020,7/12/2021,8:47 AM,2,5
6A,Parallel,4,9/10/2020,7/19/2021,1:39 PM,2,6
6C,Parallel,4,9/1/2020,6/21/2021,10:13 AM,2,6
6D,Parallel,4,9/2/2020,6/14/2021,10:15 AM,2,6
7A,Parallel,3,9/11/2020,6/7/2021,1:15 PM,2,7
7B,Perpendicular,3,9/11/2020,6/21/2021,11:47 AM,2,7
7C,Perpendicular,3,9/14/2020,7/19/2021,8:45 AM,2,7
8A,Perpendicular,4,9/16/2020,6/14/2021,11:20 AM,2,8
8B,Perpendicular,4,9/18/2020,7/12/2021,11:37 AM,2,8
8C,Perpendicular,4,9/22/2020,6/28/2021,8:53 AM,2,8
